"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000086342",49.9897571396075,1.08320952966938,0.580098729548167,1.86728478187339,0.0618618294240245,0.243143400916027,"zgc:101566"
"ENSDARG00000086374",142.018051282789,-0.38886431676477,0.611574783203669,-0.635840991886136,0.524880066495581,0.766859018323215,"isg15"
"ENSDARG00000086405",32.0481111355134,0.720121966229858,0.698957833540285,1.03027955575285,0.302878793304153,0.585115724121508,"mterf2"
"ENSDARG00000086411",81.4579274720895,-0.459796876394655,0.598542445906188,-0.768194268492565,0.442371778100219,0.705038272581595,"srsf10b"
"ENSDARG00000086416",307.147999147137,-1.14537524925003,0.563943725545025,-2.03100982840633,0.0422539976025399,0.195578176229196,"med11"
"ENSDARG00000086418",32.7657043474596,-0.0695484989986961,0.680868147905261,-0.102146794812868,0.918640158346662,0.97323627046157,"si:ch211-236p5.3"
"ENSDARG00000086419",166.135384573641,0.231328778513563,0.438339436486358,0.5277389147731,0.5976805596955,0.811598164411577,"si:ch211-282j17.13"
"ENSDARG00000086420",35.8791192399758,0.729407808980366,0.804719770723046,0.906412189084144,0.364717723558402,0.642507452778252,NA
"ENSDARG00000086421",179.951180700122,-0.116120248607123,0.571476800107359,-0.203193285510993,0.838983960754831,0.941275122110056,"si:ch211-212k18.8"
"ENSDARG00000086425",36.0829416752604,-1.57777259498831,0.67870933919579,-2.32466610354564,0.0200898211232392,0.12809486895248,"prpf3"
"ENSDARG00000086450",29.7661365226404,0.788731796908517,0.718780312955555,1.09731969934642,0.272501662407345,0.552997369630713,"tdg.2"
"ENSDARG00000086457",22.3627280891543,1.85173928468583,0.741531424978475,2.49718248250852,0.0125184517917207,0.0967209779347587,"tnfaip8l1"
"ENSDARG00000086458",23.5052936359536,-0.865131640899002,0.764974153725147,-1.13092924340793,0.258084873720101,0.538473378502432,"hdac10"
"ENSDARG00000086459",44.4418869590064,0.502503211918594,0.63429206786767,0.792226857901413,0.428228410815772,0.694606067673504,"si:ch211-165g14.1"
"ENSDARG00000086463",18.8556890762019,-0.588693772812839,0.776832000660972,-0.757813494181427,0.448562642869883,0.710493910540582,"klhl13"
"ENSDARG00000086471",44.4689615509528,-0.213767316548097,0.621320028518587,-0.344053477654314,0.730806068868655,0.887725577787773,"pkig"
"ENSDARG00000086481",25.0625146132059,0.0589566218442713,0.735467672647847,0.0801620846665013,0.936108345133518,0.980836765049212,"mogat3a"
"ENSDARG00000086490",41.1087047829289,-0.538414940912819,0.591720572184698,-0.90991418284636,0.362867769465208,0.640935727097446,"sun2"
"ENSDARG00000086495",37.1202542930871,1.30148634775103,0.596816418868927,2.18071471662522,0.0292045238515761,0.157065846132226,NA
"ENSDARG00000086505",18.0701548502918,1.70083528856946,0.78726907854815,2.16042435161568,0.0307398339857864,0.162024288805462,"mast3b"
"ENSDARG00000086518",19.5234680075876,-0.0666357985505041,0.920435198944313,-0.0723959694576344,0.942286792286826,0.982722941815267,NA
"ENSDARG00000086523",56.3147828724538,-0.401422299232173,0.60686418180362,-0.661469751006119,0.508311107196296,0.75522608415065,"erlin2"
"ENSDARG00000086529",142.898424528969,-0.368994477403231,0.496936064919172,-0.742539138235516,0.457760747868962,0.717403890691221,"si:dkey-90l23.2"
"ENSDARG00000086539",39.8327266089182,-0.0565433676184034,0.673400332406535,-0.0839669434321988,0.933082714243197,0.9792594128147,"sh2d3a"
"ENSDARG00000086551",22.3789281679826,1.39627289593921,0.805176401850213,1.73412048928746,0.0828967067785365,0.286501147346684,"irs4a"
"ENSDARG00000086552",18.8839174552716,0.714269859727332,0.778370826935284,0.917647264016382,0.35880356502938,0.638528708424578,"h2ax2"
"ENSDARG00000086553",192.459867263867,0.281857860597543,0.456438501974493,0.617515523730498,0.536894745173563,0.773248553449906,"nlrc3l1"
"ENSDARG00000086576",37.2736011470679,1.57695624349513,0.667494240718437,2.36250164765141,0.0181520607504939,0.119796422679112,NA
"ENSDARG00000086603",111.57052623652,-0.890010412197633,0.525533062920007,-1.69353838034945,0.090353035770192,0.300844282731402,"fut9b.4"
"ENSDARG00000086616",319.215807275661,0.0818565002541757,0.437130279399361,0.187258819880084,0.851457708785368,0.946665490202128,"cabz01093075.1"
"ENSDARG00000086618",1579.13110036884,-1.49981132393294,0.48411071788357,-3.09807502401475,0.00194782111629738,0.0316366906614188,"psma3"
"ENSDARG00000086626",92.4873885664311,0.780155309685372,0.563673555685397,1.3840551890655,0.166341556535616,0.425038492116173,"im:7147486"
"ENSDARG00000086645",214.481851192253,0.530747847454313,0.421315718885354,1.25973901201331,0.207763527137,0.481363985889402,"hs3st3b1b"
"ENSDARG00000086655",28.4749058555245,-0.566586661576439,0.708000158296402,-0.800263467369507,0.423558164711844,0.690367273658607,"mkrn2os.1"
"ENSDARG00000086670",152.63525765415,-1.34200142825094,0.48650182028133,-2.75847154585135,0.00580723606251277,0.0633434711361177,"ice2"
"ENSDARG00000086678",129.801792515625,0.909809232537948,0.595954272950388,1.52664268691918,0.126849886232206,0.360914127237873,"ascc3"
"ENSDARG00000086691",43.6699121312288,-2.08954098855968,0.907028651692727,-2.30372103974898,0.0212383079979764,0.132254034552697,"dnajc12"
"ENSDARG00000086699",247.49970109782,-1.26080925960325,0.540420212972424,-2.33301647373354,0.0196472807160099,0.12605038195072,"smim15"
"ENSDARG00000086703",21.5694039859181,-1.64620803878271,0.836510158944586,-1.96794745548543,0.0490740837838711,0.213000030103531,"nlrp12l"
"ENSDARG00000086724",34.3199385588091,-0.172849132421264,0.711339828637326,-0.242990938314787,0.808012417290821,0.926466315978165,"im:7151449"
"ENSDARG00000086735",1641.38189290039,1.60673344553353,0.477002393924082,3.36839702693243,0.000756066337681531,0.0175247251291426,NA
"ENSDARG00000086737",58.2293538682343,-0.339194713992866,0.567329101899704,-0.597879983341364,0.549920016841219,0.782143618285621,"tmem68"
"ENSDARG00000086740",62.0431757958131,0.346966103136187,0.570538229083541,0.60813822010406,0.543095805103037,0.776748526261599,"phyh"
"ENSDARG00000086746",99.1492618801542,0.0165400706929847,0.515124003790966,0.0321089108083897,0.974385197278143,0.991824801501234,"prodha"
"ENSDARG00000086752",22.1613758252202,0.293749157877242,0.8290402990568,0.354324341303361,0.723095827790134,0.884151698582844,NA
"ENSDARG00000086753",117.934955149761,-1.45768006773178,0.65859724689615,-2.21331029639368,0.0268762602420769,0.151084189680829,"bbln"
